spec2k17_intensive
L1DPref;L2DPref;SpeedUp;L1DAccuracyTime;L1DAccuracyLate;L1DMPKI;L2CMPKI;LLCMPKI
ip_stride;no;1.0;0.7056482341947455;0.7780248096513112;23.497286284770706;12.256836924052328;9.677745387884611
ipcp_isca2020;ipcp_isca2020;1.0527963740578605;0.6575162323474586;0.6915813526477859;21.00405672444997;9.692832571629674;7.887020187769455
ipcp_isca2020;no;1.0451798546626452;0.6462571045328965;0.6913968706870722;21.13281951397552;9.888611893752758;8.06860782769921
mlop_dpc3;bingo_dpc3;1.0920018406694965;0.7073821515471255;0.7435052348200989;22.581611491110497;7.3976164690312665;5.7407623867323
mlop_dpc3;no;1.0594798864476314;0.7011594293532312;0.7442956381118343;22.48648176634576;9.272386876649016;6.93067037256025
mlop_dpc3;ppf;1.0877481819008157;0.7197590113534617;0.7495998103203846;22.403969217481606;7.590599484770259;5.8399579239633725
no;no;0.7952762592964583;0.0;0.0;33.10441923266263;18.908328287525077;14.393553624070249
vberti;bingo_dpc3;1.0756614779692708;0.7111711759449664;0.7236729044512348;19.724649282757763;7.07663312924002;5.59888321345147
vberti;no;1.0479004985869673;0.7080588107117536;0.7226643957513293;19.582007063681775;8.296849456078176;6.7105828918925425
vberti;ppf;1.0650713629244188;0.7107691164722402;0.7212259711738195;19.619532618303595;7.515366459428978;5.942254044974594
