spec2k17_intensive
L1DPref;L2DPref;SpeedUp;L1DAccuracyTime;L1DAccuracyLate;L1DMPKI;L2CMPKI;LLCMPKI
ip_stride;no;1.0;0.7056482341947455;0.7780248096513112;23.497286284770706;12.256836924052328;9.677745387884611
ipcp_isca2020;ipcp_isca2020;1.0527963740578605;0.6575162323474586;0.6915813526477859;21.00405672444997;9.692832571629674;7.887020187769455
ipcp_isca2020;no;1.0451798546626452;0.6462571045328965;0.6913968706870722;21.13281951397552;9.888611893752758;8.06860782769921
mlop_dpc3;bingo_dpc3;1.0920018406694965;0.7073821515471255;0.7435052348200989;22.581611491110497;7.3976164690312665;5.7407623867323
mlop_dpc3;no;1.0594798864476314;0.7011594293532312;0.7442956381118343;22.48648176634576;9.272386876649016;6.93067037256025
mlop_dpc3;ppf;1.0877481819008157;0.7197590113534617;0.7495998103203846;22.403969217481606;7.590599484770259;5.8399579239633725
no;no;0.7952762592964583;0.0;0.0;33.10441923266263;18.908328287525077;14.393553624070249
vberti;bingo_dpc3;1.1033479432775215;0.8223626432440166;0.8364033334632562;20.838624208365477;7.0526498026304365;5.497045723325635
vberti;no;1.0634289583780374;0.8294407255311919;0.8431904427602701;20.989549192944644;8.471499752193774;6.640308186761679
vberti;ppf;1.0998163273503108;0.8306011099879637;0.8406538543977854;20.635690298832206;7.25653284298109;5.52665794033108
